Designator,Mid X,Mid Y,Rotation,Layer
C1,129.47,-133.5065,90.0,top
C10,124.64,-118.41,270.0,top
C2,129.47,-137.0625,270.0,top
C3,167.62,-122.83,90.0,top
C4,160.325,-120.825,90.0,top
C5,148.973,-131.299,0.0,top
C6,155.65,-120.825,270.0,top
C7,158.025,-120.825,270.0,top
C8,148.03,-121.4026,90.0,top
C9,144.45,-130.6,90.0,top
D1,168.05,-136.0,270.0,top
J1,172.212,-135.89,90.0,bottom
J2,121.9,-137.345,180.0,top
J3,126.6434,-130.340568,90.0,bottom
Q1,132.025,-123.1225,90.0,top
Q2,135.625,-123.1225,90.0,top
Q3,139.275,-123.1225,90.0,top
Q4,142.9,-123.1225,90.0,top
R1,154.56,-123.71,180.0,top
R10,119.27,-135.26,90.0,top
R11,131.975,-125.8475,0.0,top
R12,135.628666,-125.8475,0.0,top
R13,139.269332,-120.3975,180.0,top
R14,142.91,-120.3975,180.0,top
R15,139.269332,-125.8475,0.0,top
R16,142.91,-125.8475,0.0,top
R2,152.42,-131.29,0.0,top
R3,153.875,-135.15,270.0,top
R4,153.875,-126.225,270.0,top
R5,146.125,-130.6,90.0,top
R6,147.54,-138.78,0.0,top
R7,131.9625,-120.3975,180.0,top
R8,135.628666,-120.3975,180.0,top
R9,127.22,-119.32,0.0,top
U1,136.4,-134.22,270.0,top
U2,149.11,-135.21,270.0,top
U3,157.6336,-128.1974,0.0,bottom
U4,149.11,-126.02,270.0,top
U5,147.6352,-128.524,90.0,bottom
U6,160.615,-132.925,270.0,top
U7,123.06,-125.61,270.0,top
Y1,125.85,-134.38,90.0,top
